CSD,1_Cumulative_WFS_PM25,2_WFS_Fraction,3_Average_WFS_PM25,4_Any_WFS,5_WFS_PM25_exceeds_5,6_Total_PM25_exceeds_25,7_WFS_Episodes,8_Severe_Episodes,9_Longest_Episode,10_Worst_Episode,11_WFS_from_Severe_Episodes,12_Average_Recovery,Cumulative_Total_PM25,Average_Total_PM25,Cumulative_NonWFS_PM25,Average_NonWFS_PM25,Counterfactual_Value
5915813,2.77,7.3,11.36,35,23,5,9,2,13,23.44,40.3,68.2,35.11,7.42,37.88,6.88,6.84
5915816,2.77,7.28,12.36,32,23,7,8,2,8,23.32,40.9,76.67,35.28,7.45,38.05,6.9,6.84
5915825,2.82,7.4,12.57,32,25,6,8,2,8,24.14,41.3,77.11,35.27,7.45,38.08,6.9,6.82
5915830,2.77,7.3,11.36,35,23,5,9,2,13,23.44,40.3,68.2,35.11,7.42,37.88,6.88,6.84
5917005,2.08,5.5,11.01,27,18,2,7,2,6,36.73,45.7,88.38,35.75,7.4,37.83,7,6.87
5917010,2.12,5.61,11.23,27,17,4,9,2,7,37.7,45.5,69.7,35.72,7.41,37.85,6.99,6.92
5917015,2.07,5.49,11.39,26,18,3,7,2,6,38.29,48.1,88.25,35.73,7.4,37.8,6.99,6.91
5917021,2.04,5.38,11.64,25,16,4,7,2,7,39.3,49.6,87.62,35.83,7.41,37.87,7.01,7
5917027,2.23,5.84,12.75,25,16,4,6,2,6,37.34,46.6,101.14,35.95,7.47,38.18,7.04,6.89
5917029,2,5.38,13.63,21,15,5,6,2,6,38.41,50,101.14,35.21,7.28,37.21,6.89,6.76
5917030,1.96,5.19,11.64,24,18,2,7,2,7,36.68,48.7,87.75,35.73,7.39,37.68,7.01,6.99
5917034,1.95,5.17,12.12,23,18,3,6,2,6,37.39,51,101.29,35.83,7.41,37.78,7.03,7.01
5917040,2.12,5.64,11.66,26,18,4,6,2,6,38.59,49.4,101.29,35.53,7.38,37.65,6.97,6.91
5917041,2.17,5.78,12.4,25,17,4,6,2,6,37.7,48.2,101.71,35.36,7.36,37.53,6.93,6.83
5917042,2.21,5.9,11.69,27,19,3,6,2,6,34.7,45.4,101.71,35.28,7.35,37.49,6.92,6.81
5917044,2.1,5.62,12.02,25,18,3,6,2,6,34.95,48,101.71,35.34,7.34,37.44,6.93,6.83
5917047,2.15,5.72,12.28,25,18,4,6,2,6,38.03,49.1,101.29,35.42,7.36,37.57,6.94,6.83
5917049,2.1,5.59,11.99,25,20,3,6,2,6,34.5,47.1,101.29,35.45,7.35,37.55,6.94,6.82
5917052,2.1,5.59,12.48,24,18,3,6,2,6,36.13,47.3,102,35.39,7.35,37.49,6.94,6.83
5917054,2.12,5.63,12.11,25,18,3,6,2,6,35.98,46.3,101.43,35.49,7.36,37.61,6.95,6.83
5917056,2.14,5.66,9.87,31,19,2,7,2,8,21.05,41.5,87.62,35.7,7.41,37.84,6.99,6.83
5917801,2.08,5.52,11.02,27,21,2,7,2,6,34.88,43.7,88.38,35.64,7.38,37.73,6.98,6.82
5917802,2.19,5.77,11.58,27,23,3,7,2,6,37.24,44.4,88.38,35.73,7.42,37.92,6.99,6.87
5917803,2.02,5.34,11.09,26,17,4,7,2,7,39.95,49.8,87.62,35.78,7.4,37.8,7,6.94
5917804,2.02,5.36,12.03,24,19,2,6,2,6,35.77,47.6,101.29,35.69,7.38,37.71,6.98,6.84
5917809,2.15,5.74,11.37,27,19,3,6,2,7,31.89,44.6,101.14,35.28,7.34,37.43,6.92,6.83
5917812,2.18,5.81,12.47,25,18,4,6,2,6,38.68,48.7,101.29,35.39,7.37,37.57,6.94,6.82
5917815,2.25,5.94,8.94,36,21,3,9,0,8,18.81,0,69.3,35.69,7.43,37.95,6.98,6.82
5917819,2.1,5.61,12.52,24,19,3,5,2,6,36.5,47.2,119,35.39,7.35,37.49,6.94,6.83
5919008,2.23,5.87,12.75,25,17,4,6,2,6,37.93,47.2,101.14,35.8,7.44,38.03,7.01,6.8
5919012,2.19,5.74,13.02,24,19,4,6,2,6,38.35,48.6,101.14,35.88,7.45,38.07,7.02,6.76
5919013,2.06,5.47,11.78,25,21,3,7,2,6,33.08,46.1,88.38,35.65,7.38,37.71,6.98,6.85
5919015,2.2,5.82,13.12,24,19,4,5,2,6,36.97,46.4,119,35.67,7.42,37.88,6.99,6.74
5919016,2.17,6,11.92,26,17,5,6,2,8,24.3,44.4,100.43,33.98,7.09,36.15,6.67,6.5
5919017,2.31,6.07,12.67,26,20,4,6,2,8,23.84,47.5,100.86,35.7,7.45,38,7,6.74
5919021,2.24,5.89,12.78,25,19,4,6,2,6,37.77,45.3,101.71,35.72,7.44,37.96,7,6.78
5919033,2.02,5.43,12.56,23,16,4,5,2,8,23.23,48.7,117.5,35.19,7.28,37.22,6.89,6.72
